"Timestamp","Please enter the unique ID code you gave yourself.  To do that, chose a letter (from A-Z) followed by a 2 digit random number (for example B97). Of course write it down somewhere to remember it.","What was your gender at birth? ","Please enter your age. Do not enter units or any text.","Are you right handed, left handed, or ambidextrous?","Using your PREFERRED hand to take the test: Please enter your FIRST reaction time in milliseconds (e.g., 326). Do not enter units or any text.","Using your PREFERRED hand to take the test: Please enter your SECOND reaction time in milliseconds (e.g., 326). ","Using your PREFERRED hand to take the test: Please enter your THIRD reaction time in milliseconds (e.g., 326). ","Using your PREFERRED hand to take the test: Please enter your FOURTH reaction time in milliseconds (e.g., 326). ","Using your PREFERRED hand to take the test: Please enter your FIFTH reaction time in milliseconds (e.g., 326). ","Using your PREFERRED hand to take the test: Please enter your AVERAGE reaction time in milliseconds (e.g., 326)."
"2025/04/23 3:15:52 PM GMT+9","B99","Male","21","Left handed","215","256","247","205","260","240"
"2025/04/23 3:46:18 PM GMT+9","R65","Male","18","Right handed","219","187","205","197","188","199.2"
"2025/04/23 3:51:02 PM GMT+9","I23","Male","19","Right handed","222","222","246","241","225","244"
"2025/04/23 3:51:22 PM GMT+9","B39","Male","23","Right handed","240","231","232","247","223","234"
"2025/04/23 3:51:26 PM GMT+9","U21","Female","21","Right handed","365","334","232","326","316","314.6"
"2025/04/23 3:51:31 PM GMT+9","S64","Female","21","Right handed","333","376","287","325","330","330.2"
"2025/04/23 3:52:23 PM GMT+9","M78","Male","20","Right handed","285","306","270","289","282","286.4"
"2025/04/23 3:52:32 PM GMT+9","P22","Female","22","Right handed","287","276","333","298","298","299"
"2025/04/23 3:52:41 PM GMT+9","J98","Male","20","Right handed","225","215","215","224","212","218.2"
"2025/04/23 3:52:46 PM GMT+9","I08","Female","21","Right handed","334","267","292","285","351","305.8"
"2025/04/23 3:53:08 PM GMT+9","A24","Male","20","Right handed","306","269","239","269","234","263.4"
"2025/04/23 3:53:12 PM GMT+9","Y25","Male","19","Right handed","335","334","299","332","337","327.4"
"2025/04/23 3:53:15 PM GMT+9","A56","Female","19","Right handed","385","402","380","354","385","381,2"
"2025/04/23 3:53:41 PM GMT+9","H09","Female","22","Right handed","396","287","269","296","305","311"
"2025/04/23 3:53:46 PM GMT+9","F36","Male","19","Ambidextrous","759","319","333","376","427","443"
"2025/04/23 3:53:53 PM GMT+9","C07","Female","18","Right handed","286","325","270","293","293","293"
"2025/04/23 3:54:06 PM GMT+9","A45","Female","19","Right handed","356","378","348","409","387","376"
"2025/04/23 3:54:26 PM GMT+9","U34","Male","22","Right handed","257","284","278","252","263","266"
"2025/04/23 3:54:34 PM GMT+9","E32","Male","20","Right handed","266","320","287","292","280","303"
"2025/04/23 3:54:40 PM GMT+9","X03","Male","34","Right handed","364","576","394","388","426","429.6"
"2025/04/23 3:55:05 PM GMT+9","M73","Female","24","Right handed","343","337","342","343","347","342"
"2025/04/23 3:55:06 PM GMT+9","A10","Male","18","Right handed","257","257","263","262","257","259.2"
"2025/04/23 3:56:18 PM GMT+9","K14","Female","21","Right handed","262","257","289","256","264","265"
